step,time,energy,E_over_E0
0,0,9.857688472760229,1
10,1,0.4032202023916877,0.04090413320586331
20,2,0.01649338127096545,0.001673148965555327
30,3,0.0006746478082437626,6.843874302865406e-05
40,4,2.759589788416876e-05,2.799428888468586e-06
50,5,1.128786859640266e-06,1.145082706518313e-07
60,6,4.617207184276001e-08,4.683863967739232e-09
70,7,1.888629591056212e-09,1.915894985193605e-10
80,8,7.725281044874894e-11,7.83680785431816e-12
90,9,3.159965963558286e-12,3.205585135186841e-13
100,10,1.292576732327318e-13,1.31123714844418e-14
